matrix,sparskit,mkl,taco,this work
pdb1HYS,59.104,61.634,60.598,10.01
jnlbrng1,0.864,1.278,0.908,0.44
obstclae,0.855,1.271,0.899,0.44
chem_master1,1.027,1.303,1.046,0.72
rma10,30.029,29.162,29.753,11.09
dixmaanl,1.484,1.979,1.521,0.65
cant,24.326,31.347,29.892,9.09
shyy161,1.481,2.112,1.603,1.18
consph,69.571,76.704,70.7,15.51
denormal,5.363,7.035,6.063,2.17
Baumann,4.141,5.237,4.38,2.69
cop20k_A,52.19,55.4,72.268,5.44
shipsec1,88.014,100.925,91.506,20.46
majorbasis,11.257,13.556,12.432,7.6
scircuit,13.443,15.52,15.897,3.48
mac_econ_fwd500,10.19,12.569,11.36,4.96
pwtk,136.178,153.945,139.845,39.24
Lin,8.851,11.438,9.564,3.83
ecology1,44.486,59.054,45.881,16.22
webbase_1M,52.316,51.915,55.017,16.73
atmosmodd,121.773,137.426,130.069,64.59