coodia,,,,,,,,,,,,,,,
matrix,sparskit,mkl,taco,ours,,,,,,,,,,,
pdb1HYS,        ,        ,        ,        ,        ,        ,,,,,,,,,
jnlbrng1,4.552,2.51,0.683,        ,        ,        ,,,,,,,,,
obstclae,4.521,2.493,0.686,        ,        ,        ,,,,,,,,,
chem_master1,4.769,4.664,0.701,        ,        ,        ,,,,,,,,,
rma10,        ,        ,        ,        ,        ,        ,,,,,,,,,
dixmaanl,7.316,4.113,1.174,        ,        ,        ,,,,,,,,,
cant,170.027,180.271,47.889,        ,        ,        ,,,,,,,,,
shyy161,9.251,4.688,1.362,        ,        ,        ,,,,,,,,,
consph,        ,        ,        ,        ,        ,        ,,,,,,,,,
denormal,26.358,29.252,4.098,        ,        ,        ,,,,,,,,,
Baumann,18.075,18.715,2.739,        ,        ,        ,,,,,,Model,MRPC,CoLA,WNLI
cop20k_A,        ,        ,        ,        ,        ,        ,,,,,,"DistilBERT	",86.9,49,44.4
shipsec1,        ,        ,        ,        ,        ,        ,,,,,,TinyBert,87.3,51.1,N/A
majorbasis,30.653,35.173,8.562,        ,        ,        ,,,,,,child-Electra,68,0,56
scircuit,        ,        ,        ,        ,        ,        ,,,,,,,,,
mac_econ_fwd500,        ,        ,        ,        ,        ,        ,,,,,,,,,
pwtk,        ,        ,        ,        ,        ,        ,,,,,,,,,
Lin,41.908,42.761,6.502,        ,        ,        ,,,,,,,,,
ecology1,99.97,107.654,38.298,        ,        ,        ,,,,,,,,,
webbase_1M,        ,        ,        ,        ,        ,        ,,,,,,,,,
atmosmodd,224.31,229.634,68.627,        ,        ,        ,,,,,,,,,
,,,,        ,        ,        ,,,,,,,,,